code,name
000660,SK하이닉스
001440,대한전선
002030,아세아
003670,포스코퓨처엠
004490,세방전지
005250,녹십자홀딩스
005930,삼성전자
006400,삼성SDI
007340,DN오토모티브
007660,이수페타시스
009150,삼성전기
010120,LS ELECTRIC
011070,LG이노텍
012750,에스원
017670,SK텔레콤
018260,삼성에스디에스
021240,코웨이
022100,포스코DX
028050,삼성E&A
030000,제일기획
030200,KT
032640,LG유플러스
034220,LG디스플레이
035420,NAVER
035720,카카오
036570,엔씨소프트
052690,한전기술
062040,산일전기
064400,LG씨엔에스
066570,LG전자
066970,엘앤에프
192080,더블유게임즈
251270,넷마블
259960,크래프톤
267260,HD현대일렉트릭
272210,한화시스템
298040,효성중공업
307950,현대오토에버
326030,SK바이오팜
361610,SK아이이테크놀로지
373220,LG에너지솔루션
443060,HD현대마린솔루션
450080,에코프로머티
000150,두산
000240,한국앤컴퍼니
000810,삼성화재
001040,CJ
001450,현대해상
001800,오리온홀딩스
003030,세아제강지주
003550,LG
004990,롯데지주
005830,DB손해보험
005940,NH투자증권
006040,동원산업
006260,LS
006800,미래에셋증권
008930,한미사이언스
009540,HD한국조선해양
009970,영원무역홀딩스
010060,OCI홀딩스
016360,삼성증권
024110,기업은행
029780,삼성카드
032830,삼성생명
034730,SK
039490,키움증권
055550,신한지주
071050,한국금융지주
078930,GS
086790,하나금융지주
088350,한화생명
105560,KB금융
0126Z0,삼성에피스홀딩스
138040,메리츠금융지주
138930,BNK금융지주
139130,iM금융지주
175330,JB금융지주
180640,한진칼
267250,HD현대
316140,우리금융지주
323410,카카오뱅크
377300,카카오페이
402340,SK스퀘어
000210,DL
000670,영풍
000880,한화
001430,세아베스틸지주
002380,KCC
002790,아모레퍼시픽홀딩스
002840,미원상사
003240,태광산업
004000,롯데정밀화학
004020,현대제철
005420,코스모화학
005490,POSCO홀딩스
006650,대한유화
008730,율촌화학
009830,한화솔루션
010130,고려아연
010950,S-Oil
011170,롯데케미칼
011780,금호석유화학
011790,SKC
014680,한솔케미칼
014820,동원시스템즈
017960,한국카본
051900,LG생활건강
051910,LG화학
069260,TKG휴켐스
073240,금호타이어
079550,LIG넥스원
090430,아모레퍼시픽
093370,후성
096770,SK이노베이션
103140,풍산
112610,씨에스윈드
120110,코스롱인더
161390,한국타이어앤테크놀로지
161890,한국콜마
192820,코스맥스
268280,미원에스씨
278470,에이피알
285130,SK케미칼
298020,효성티앤씨
298050,HS효성첨단소재
300720,한일시멘트
457190,이수스페셜티케미컬
000120,CJ대한통운
000270,기아
000720,현대건설
003490,대한항공
005380,현대차
005850,에스엘
006360,GS건설
010140,삼성중공업
011200,HMM
011210,현대위아
012330,현대모비스
012450,한화에어로스페이스
017800,현대엘리베이터
018880,한온시스템
028670,팬오션
034020,두산에너빌리티
042660,한화오션
042700,한미반도체
047040,대우건설
047810,한국항공우주
051600,한전KPS
064350,현대로템
071970,HD현대마린엔진
082740,한화엔진
086280,현대글로비스
204320,HL만도
241560,두산밥캣
329180,HD현대중공업
375500,DL이앤씨
454910,두산로보틱스
004170,신세계
007070,GS리테일
008770,호텔신라
009240,한샘
023530,롯데쇼핑
026960,동서
028260,삼성물산
034230,파라다이스
035250,강원랜드
047050,포스코인터내셔널
069960,현대백화점
081660,미스토홀딩스
111770,영원무역
114090,GKL
139480,이마트
282330,BGF리테일
352820,하이브
383220,F&F
000100,유한양행
003090,대웅
006280,녹십자
009420,한올바이오파마
068270,셀트리온
069620,대웅제약
128940,한미약품
137310,에스디바이오센서
185750,종근당
207940,삼성바이오로직스
302440,SK바이오사이언스
000080,하이트진로
001680,대상
003230,삼양식품
004370,농심
005300,롯데칠성
007310,오뚜기
033780,KT&G
097950,CJ제일제당
271560,오리온
280360,롯데웰푸드
015760,한국전력
036460,한국가스공사
071320,지역난방공사
